appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,label
4920,Natural Selection 2,2012-10-30,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows;linux,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Action;Indie;Strategy,Multiplayer;Strategy;FPS,67,8372,1498,627,253,1000000-2000000,6.99,0
6120,Shank,2010-10-25,1,Klei Entertainment,Klei Entertainment,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Action;Indie,Action;Indie;Beat 'em up,12,1749,227,255,363,200000-500000,7.19,0
6420,Nexus - The Jupiter Incident,2007-07-03,1,Mithis Games;THQ Nordic,HandyGames,windows,0,Single-player;Multi-player;Includes level editor,Indie;Simulation;Strategy,Strategy;Space;Sci-fi,0,474,90,0,0,50000-100000,6.99,0
7340,Azada,2010-04-21,1,Big Fish Games,Big Fish Games,windows,0,Single-player,Casual;Indie,Casual;Indie;Puzzle,0,8,4,0,0,0-20000,6.99,0
8970,Axel & Pixel,2010-10-06,1,Silver Wish Games,2K,windows,0,Single-player;Steam Achievements,Indie,Indie;Point & Click,12,35,14,0,0,20000-50000,3.49,0
9500,Gish,2007-07-20,1,Cryptic Sea,Chronic Logic,windows;mac,0,Single-player;Multi-player,Indie,Indie;Platformer;Physics,11,160,94,23,23,200000-500000,5.99,0
11230,Gumboy Tournament,2008-05-19,1,CINEMAX, s.r.o.,CINEMAX, s.r.o.,windows,0,Single-player;Multi-player,Casual;Indie;Racing,Indie;Casual;Racing,0,351,142,46,49,50000-100000,1.79,0
11240,Space Trader: Merchant Marine,2008-10-23,1,Meridian4,Meridian4,windows,0,Single-player;Multi-player;Co-op;Steam Achievements,Action;Indie;Strategy,Action;Space;FPS,40,299,310,15,15,200000-500000,3.99,0
11280,Penguins Arena: Sedna's World,2008-12-18,1,Frogames,Frogames,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Steam Trading Cards,Action;Casual;Indie,Action;Casual;Indie,10,902,129,91,97,100000-200000,4.79,0
11330,Obulis,2009-03-19,1,IonFX,Meridian4,windows,0,Single-player;Steam Achievements,Casual;Indie,Puzzle;Casual;Indie,17,586,130,41,69,100000-200000,3.99,0
11340,Larva Mortus,2009-03-19,1,Meridian4,Meridian4,windows,0,Single-player;Steam Achievements,Action;Indie,Action;Indie;Top-Down,25,523,161,76,108,100000-200000,3.99,0
11360,Chains,2009-07-01,1,2DEngine.com,Meridian4,windows;mac,0,Single-player,Indie,Indie;Puzzle;Physics,0,433,148,36,36,100000-200000,3.99,0
13000,Ninja Reflex: Steamworks Edition,2008-03-21,1,Sanzaru Games,Nunchuck Games,windows,0,Single-player;Multi-player;Steam Achievements,Casual;Indie,Indie;Casual;Ninja,52,48,4,121,121,0-20000,3.99,0
15400,Harvest: Massive Encounter,2009-01-23,1,Oxeye Game Studio,Oxeye Game Studio,windows;mac;linux,0,Single-player;Steam Achievements,Strategy;Indie,Strategy;Indie;Tower Defense,25,89,21,0,0,20000-50000,5.79,0
15500,The Wonderful End of the World,2008-07-17,1,Dejobaan Games, LLC,Dejobaan Games, LLC,windows,0,Single-player;Steam Achievements;Partial Controller Support,Indie;Casual,Indie;Casual;Action,11,402,135,0,0,100000-200000,6.99,0
15520,AaAaAA!!! - A Reckless Disregard for Gravity,2009-09-03,1,Dejobaan Games, LLC,Dejobaan Games, LLC,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action;Indie;Sports,Action;Indie;First-Person,7,547,103,151,151,100000-200000,6.99,0
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,2011-11-23,1,Dejobaan Games, LLC;Owlchemy Labs,Dejobaan Games, LLC,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Indie;Sports,Indie;Action;First-Person,10,747,252,136,136,200000-500000,6.99,0
15800,Planet Busters,2008-06-30,1,Slam,Slam,windows,0,Single-player;Steam Achievements;Partial Controller Support,Indie;Casual,Indie;Casual,9,1,1,0,0,0-20000,5.99,0
16500,Chaos Theory,2008-05-22,1,blurredVision,blurredVision,windows,0,Single-player;Steam Achievements,Casual;Indie,Indie;Casual;Puzzle,12,10,1,0,0,0-20000,1.99,0
16600,Trials 2: Second Edition,2008-05-28,1,Redlynx,RedLynx Ltd.,windows,0,Single-player;Multi-player;Steam Achievements,Indie;Racing;Sports,Racing;Indie;Sports,25,169,33,382,382,50000-100000,5.99,0
16620,Monster Trucks Nitro ,2009-01-29,1,Redlynx Ltd,Miniclip.com,windows;mac,0,Single-player,Indie;Racing;Sports,Racing;Indie;Sports,0,21,13,0,0,0-20000,16.99,0
16900,GROUND BRANCH,2018-08-14,1,BlackFoot Studios,BlackFoot Studios,windows,0,Single-player;Online Multi-Player;Online Co-op;VR Support;Partial Controller Support,Action;Indie;Early Access,Early Access;Indie;Tactical,0,599,143,0,0,20000-50000,15.49,0
17500,Zombie Panic! Source,2008-10-03,1,Zombie Panic Team,Zombie Panic Team,windows;linux,0,Multi-player;Co-op;Mods;Mods (require HL2);Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor;Includes Source SDK,Action;Free to Play;Indie,Free to Play;Zombies;Multiplayer,106,5267,914,948,86,500000-1000000,0.0,0
17570,Pirates, Vikings, and Knights II,2010-02-12,1,Octoshark Studios,Octoshark Studios,windows;mac;linux,0,Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Mods;Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor;Includes Source SDK,Action;Free to Play;Indie,Free to Play;Multiplayer;Action,247,3839,582,117,197,500000-1000000,0.0,0
18040,DeathSpank,2010-10-25,1,Hothead Games,Electronic Arts,windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,RPG;Action;Indie,12,540,34,1008,1008,100000-200000,7.99,0
18050,DeathSpank: Thongs of Virtue,2010-11-30,1,Hothead Games,Electronic Arts,windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;RPG;Indie,Action;RPG;Indie,13,125,18,0,0,50000-100000,7.99,0
18120,Unstoppable Gorg,2012-01-19,1,Futuremark,Futuremark,windows;mac,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Casual;Indie;Strategy,Tower Defense;Strategy;Indie,30,190,48,37,37,50000-100000,6.99,0
18300,Spectraball,2008-10-20,1,Shorebound Studios,Shorebound Studios,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Casual;Indie,Casual;Indie;Puzzle,14,297,101,126,126,50000-100000,3.99,0
18500,Defense Grid: The Awakening,2008-12-08,1,Hidden Path Entertainment,Hidden Path Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Indie;Strategy,Tower Defense;Strategy;Sci-fi,87,3307,113,455,686,500000-1000000,6.99,0
18600,Mayhem Intergalactic,2009-01-22,1,Inventive Dingo,Inventive Dingo,windows,0,Single-player;Multi-player;Steam Achievements,Indie;Strategy,Indie;Strategy,21,12,10,0,0,0-20000,6.99,0
18700,And Yet It Moves,2009-04-02,1,Broken Rules,Broken Rules,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support,Action;Indie,Platformer;Indie;Puzzle,30,735,327,17,22,200000-500000,6.99,0
